Location,Name,Frequency,,,,,,,,,,,,,,,,,,,,,
1,"Sargents Purchase, Mt. Washington",145.1200,,,,,,,,,,,,,,,,,,,,,
2,"Kensington",145.1500,,,,,,,,,,,,,,,,,,,,,,
3,"Bow, Brown Hill",145.1700,,,,,,,,,,,,,,,,,,,,,,
4,"Sanbornton, Lake Winnisquam",145.1800,,,,,,,,,,,,,,,,,,,,,,
5,"Somersworth",145.1800,,,,,,,,,,,,,,,,,,,,,,
6,"Manchester",145.2200,,,,,,,,,,,,,,,,,,,,,,
7,"Center Ossipee",145.2300,,,,,,,,,,,,,,,,,,,,,,
8,"Hudson",145.2600,,,,,,,,,,,,,,,,,,,,,,
9,"Wakefield",145.2800,,,,,,,,,,,,,,,,,,,,,,
10,"Derry",145.3100,,,,,,,,,,,,,,,,,,,,,,
11,"Moultonborough",145.3100,,,,,,,,,,,,,,,,,,,,,,
12,"Salem, HRO",145.3200,,,,,,,,,,,,,,,,,,,,,,
13,"Hanover, Moose Mountain",145.3300,,,,,,,,,,,,,,,,,,,,,,
14,"Gilford",145.3600,,,,,,,,,,,,,,,,,,,,,,
15,"Whitefield",145.3700,,,,,,,,,,,,,,,,,,,,,,
16,"Kensington",145.4000,,,,,,,,,,,,,,,,,,,,,,
17,"Madbury",145.4000,,,,,,,,,,,,,,,,,,,,,,
18,"Concord",145.4200,,,,,,,,,,,,,,,,,,,,,,
19,"Franconia, Cannon Mt",145.4300,,,,,,,,,,,,,,,,,,,,,,
20,"Hampton Beach",145.4400,,,,,,,,,,,,,,,,,,,,,,
21,"North Conway, Mt Cranmore",145.4500,,,,,,,,,,,,,,,,,,,,,,
22,"Franklin",145.4600,,,,,,,,,,,,,,,,,,,,,,
23,"Pembroke, Plausawa Hill",145.4800,,,,,,,,,,,,,,,,,,,,,,
24,"Pelham",146.5000,,,,,,,,,,,,,,,,,,,,,,
25,"Bow",146.6100,,,,,,,,,,,,,,,,,,,,,,
26,"Gorham, Mount Washington",146.6550,,,,,,,,,,,,,,,,,,,,,,
27,"Sanbornton, Steele Hill Resorts",146.6700,,,,,,,,,,,,,,,,,,,,,,
28,"Bedford",146.6850,,,,,,,,,,,,,,,,,,,,,,
29,"Berlin, Cates Hill",146.6850,,,,,,,,,,,,,,,,,,,,,,
30,"Northwood",146.7000,,,,,,,,,,,,,,,,,,,,,,
31,"Alstead",146.7150,,,,,,,,,,,,,,,,,,,,,,
32,"Clarksville, Ben Young Hill",146.7150,,,,,,,,,,,,,,,,,,,,,,
33,"Hollis",146.7300,,,,,,,,,,,,,,,,,,,,,,
34,"Derry",146.7450,,,,,,,,,,,,,,,,,,,,,,
35,"Rindge",146.7750,,,,,,,,,,,,,,,,,,,,,,
36,"Pittsfield",146.7900,,,,,,,,,,,,,,,,,,,,,,
37,"Westmoreland",146.8050,,,,,,,,,,,,,,,,,,,,,,
38,"Derry",146.8500,,,,,,,,,,,,,,,,,,,,,,
39,"Brattleboro, Schofield Mtn",146.8650,,,,,,,,,,,,,,,,,,,,,,
40,"Henniker, Pats Peak",146.8950,,,,,,,,,,,,,,,,,,,,,,
41,"Charlestown",146.9250,,,,,,,,,,,,,,,,,,,,,,
42,"Pembroke",146.9400,,,,,,,,,,,,,,,,,,,,,,
43,"Gilford, Gunstock Mountain",146.9850,,,,,,,,,,,,,,,,,,,,,,
44,"Deerfield, Saddleback Mountain",147.0000,,,,,,,,,,,,,,,,,,,,,,
45,"Ossipee",147.0300,,,,,,,,,,,,,,,,,,,,,,
46,"Walpole, WEKW Tower",147.0300,,,,,,,,,,,,,,,,,,,,,,
47,"Nashua",147.0450,,,,,,,,,,,,,,,,,,,,,,
48,"Francestown",147.0600,,,,,,,,,,,,,,,,,,,,,,
49,"Ossipee",147.0750,,,,,,,,,,,,,,,,,,,,,,
50,"Bethlehem, Mt Agassiz",147.1050,,,,,,,,,,,,,,,,,,,,,,
51,"Hudson",147.1050,,,,,,,,,,,,,,,,,,,,,,
52,"Goffstown",147.1350,,,,,,,,,,,,,,,,,,,,,,
53,"Salem",147.1650,,,,,,,,,,,,,,,,,,,,,,
54,"Derry",147.2100,,,,,,,,,,,,,,,,,,,,,,
55,"Pembroke",147.2250,,,,,,,,,,,,,,,,,,,,,,
56,"Moultonborough",147.2550,,,,,,,,,,,,,,,,,,,,,,
57,"Claremont",147.2850,,,,,,,,,,,,,,,,,,,,,,
58,"Franklin, Veterans Memorial Recreation Area",147.3000,,,,,,,,,,,,,,,,,,,,,,
59,"Manchester",147.3300,,,,,,,,,,,,,,,,,,,,,,
60,"Gilsum",147.3600,,,,,,,,,,,,,,,,,,,,,,
61,"New Boston, Chestnut Hill",147.3750,,,,,,,,,,,,,,,,,,,,,,
62,"Moultonborough, Red Hill",147.3900,,,,,,,,,,,,,,,,,,,,,,
63,"Claremont",147.4200,,,,,,,,,,,,,,,,,,,,,,